episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
1,-201.0106,0.671,2.5867,41.6092,0.995,0.0,
2,-145.7279,0.7132,3.0945,30.2444,0.99,0.0,
3,-185.9683,0.7422,-1.1815,40.6558,0.9851,7.34233,
4,-214.096,0.7061,-2.1811,44.8282,0.9801,7.210232,
5,-167.2066,0.7167,1.255,35.6294,0.9752,6.872518,
6,-179.6415,0.7373,0.5738,39.2129,0.9704,6.990453,
7,-67.8471,0.743,6.3087,14.1521,0.9655,6.74622,
8,-198.3016,0.7125,-0.5098,41.3735,0.9607,6.02805,
9,-220.2072,0.6743,1.3983,45.5157,0.9559,6.73649,
10,-160.398,0.7411,0.1914,34.7886,0.9511,6.31648,
11,-78.7958,0.7256,5.536,18.1962,0.9464,6.375214,
12,-136.8194,0.7378,2.9053,28.1552,0.9416,5.948813,
13,-215.5683,0.7034,-0.9033,45.6828,0.9369,5.203487,
14,-186.8861,0.6874,3.1526,38.8142,0.9322,4.631485,
15,-194.0371,0.7023,2.7035,40.3591,0.9276,4.308166,
16,-118.1756,0.7357,1.6449,26.2925,0.9229,3.94208,
17,-108.6489,0.7434,2.5776,22.7638,0.9183,3.292676,
18,-143.1285,0.7097,-0.2139,30.2107,0.9137,3.254237,
19,-147.1192,0.7152,4.1667,31.109,0.9092,2.979663,
20,-115.0247,0.7593,3.0743,24.2465,0.9046,3.127712,
21,-184.9987,0.7052,-0.7107,39.0339,0.9001,2.738127,
22,-133.2674,0.7351,2.8164,29.5874,0.8956,2.346932,
23,-53.9712,0.6966,10.6934,10.9542,0.8911,1.979912,
24,-125.0317,0.6966,4.3145,25.5414,0.8867,1.890441,
25,-209.4267,0.6993,0.7603,43.6463,0.8822,1.899551,7.1771
26,-138.7499,0.7258,0.446,29.6538,0.8778,1.70324,
27,-117.0165,0.7228,3.4696,24.1417,0.8734,1.636257,
28,-104.6456,0.751,-0.3705,24.1488,0.8691,1.736196,
29,-125.3702,0.7409,0.8262,26.155,0.8647,1.97205,
30,-231.5527,0.7045,0.1645,49.7474,0.8604,1.85674,
31,-166.5031,0.7127,3.733,33.9065,0.8561,1.642645,
32,-162.4146,0.7183,2.7269,33.5097,0.8518,1.682961,
33,-140.9487,0.7385,4.1888,29.9995,0.8475,1.666045,
34,-182.6154,0.737,-1.4691,39.2785,0.8433,1.56267,
